date,EthiopiaArrivals
2017-02-28,9834
2017-03-31,20515
2017-04-30,10797
2017-05-31,4876
2017-06-30,6184
2017-07-31,3311
2017-08-31,9288
2017-09-30,27144
2017-10-31,3229
2017-11-30,2829
2017-12-31,3759
2018-01-31,7895
2018-02-28,7202
2018-03-31,6996
2018-04-30,2682
2018-05-31,4436
2018-06-30,3266
2018-07-31,3667
2018-08-31,38798
2019-01-31,6203
2019-02-28,6261
2019-03-31,8910
2019-04-30,6996
2019-05-31,6744
2019-06-30,11241
2019-07-31,11079
2019-08-31,7966
2019-09-30,7456
2019-10-31,7947
2019-11-30,7268
2019-12-31,8705
2020-01-31,4976
2020-02-29,3165
2020-03-31,1783
2020-04-30,0
2020-05-31,0
